"filename", "language", "XML", "C#", "Markdown", "JSON", "C++", "PowerShell", "Log", "Batch", "comment", "blank", "total"
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\cyotek.drawing.bitmapfont\2.0.1\lib\net48\Cyotek.Drawing.BitmapFont.xml", "XML", 756, 0, 0, 0, 0, 0, 0, 0, 0, 1, 757
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\cyotek.drawing.bitmapfont\2.0.1\lib\netcoreapp2.1\Cyotek.Drawing.BitmapFont.xml", "XML", 756, 0, 0, 0, 0, 0, 0, 0, 0, 1, 757
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\cyotek.drawing.bitmapfont\2.0.1\lib\netcoreapp2.2\Cyotek.Drawing.BitmapFont.xml", "XML", 756, 0, 0, 0, 0, 0, 0, 0, 0, 1, 757
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\cyotek.drawing.bitmapfont\2.0.1\lib\netcoreapp3.1\Cyotek.Drawing.BitmapFont.xml", "XML", 756, 0, 0, 0, 0, 0, 0, 0, 0, 1, 757
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\cyotek.drawing.bitmapfont\2.0.1\lib\netstandard1.3\Cyotek.Drawing.BitmapFont.xml", "XML", 756, 0, 0, 0, 0, 0, 0, 0, 0, 1, 757
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\cyotek.drawing.bitmapfont\2.0.1\lib\netstandard2.0\Cyotek.Drawing.BitmapFont.xml", "XML", 756, 0, 0, 0, 0, 0, 0, 0, 0, 1, 757
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\cyotek.drawing.bitmapfont\2.0.1\lib\netstandard2.1\Cyotek.Drawing.BitmapFont.xml", "XML", 756, 0, 0, 0, 0, 0, 0, 0, 0, 1, 757
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\defaultecs.analyzer\0.15.0\defaultecs.analyzer.nuspec", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\defaultecs.analyzer\0.15.0\tools\tools\install.ps1", "PowerShell", 0, 0, 0, 0, 0, 49, 0, 0, 4, 5, 58
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\defaultecs.analyzer\0.15.0\tools\tools\uninstall.ps1", "PowerShell", 0, 0, 0, 0, 0, 55, 0, 0, 4, 6, 65
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\fontstashsharp.monogame\0.9.2\fontstashsharp.monogame.nuspec", "XML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\info.lundin.math.dll\1.2.6\info.lundin.math.dll.nuspec", "XML", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\data\FrameworkList.xml", "XML", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\microsoft.aspnetcore.app.ref.nuspec", "XML", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Antiforgery.xml", "XML", 408, 0, 0, 0, 0, 0, 0, 0, 0, 1, 409
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Authentication.Abstractions.xml", "XML", 831, 0, 0, 0, 0, 0, 0, 0, 0, 1, 832
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Authentication.Cookies.xml", "XML", 492, 0, 0, 0, 0, 0, 0, 0, 0, 4, 496
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Authentication.Core.xml", "XML", 243, 0, 0, 0, 0, 0, 0, 0, 0, 1, 244
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Authentication.OAuth.xml", "XML", 489, 0, 0, 0, 0, 0, 0, 0, 0, 1, 490
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Authentication.xml", "XML", 766, 0, 0, 0, 0, 0, 0, 0, 0, 2, 768
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Authorization.Policy.xml", "XML", 171, 0, 0, 0, 0, 0, 0, 0, 0, 1, 172
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Authorization.xml", "XML", 904, 0, 0, 0, 0, 0, 0, 0, 0, 1, 905
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Components.Authorization.xml", "XML", 159, 0, 0, 0, 0, 0, 0, 0, 0, 2, 161
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Components.Forms.xml", "XML", 294, 0, 0, 0, 0, 0, 0, 0, 0, 6, 300
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Components.Server.xml", "XML", 1876, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1883
